rankAdvantage,rankPointsAdvantage,overallEloAdvantage,hardEloAdvantage,clayEloAdvantage,grassEloAdvantage,matchSurfaceEloAdvantage,ageAdvantage,heightAdvantage,leftyAdvantage,sameHandedness,overallWinRateAdvantage,overallSampleAdvantage,surfaceWinRateAdvantage,surfaceSampleAdvantage,recent5WinRateAdvantage,recent10WinRateAdvantage,recent20WinRateAdvantage,recentSurface10WinRateAdvantage,matchesLast30Advantage,matchesLast60Advantage,matchesLast90Advantage,winRateLast30Advantage,winRateLast60Advantage,winRateLast90Advantage,h2hAdvantage,h2hSampleSize,surfaceH2hAdvantage,surfaceH2hSampleSize,highLevelExperienceAdvantage,top20WinRateAdvantage,top20SampleAdvantage,aceRateAdvantage,doubleFaultRateAdvantage,firstServeInRateAdvantage,firstServeWonRateAdvantage,secondServeWonRateAdvantage,servicePointWonRateAdvantage,returnPointWonRateAdvantage,breakPointSaveRateAdvantage,breakPointConvertRateAdvantage,tiebreakWinRateAdvantage,styleServeSampleAdvantage,styleReturnSampleAdvantage,tiebreakSampleAdvantage,rankMissingAdvantage,rankPointsMissingAdvantage,ageMissingAdvantage,heightMissingAdvantage,surfaceHard,surfaceClay,surfaceGrass,drawSize,tournamentLevel,result,matchDate,tournament,surface,level,round,playerA,playerB,rankA,rankB,rankPointsA,rankPointsB,ageA,ageB,heightA,heightB,overallEloA,overallEloB,matchSurfaceEloA,matchSurfaceEloB,h2hWinsA,h2hWinsB,surfaceH2hWinsA,surfaceH2hWinsB
-57.0,-3557.0,0.0,0.0,0.0,0.0,0.0,-7.600000000000001,-17.0,0,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,30.0,0.18,0,20100111,Sydney,hard,500,R16,Kimiko Date Krumm,Victoria Azarenka,64.0,7.0,984.0,4541.0,39.2,20.4,163.0,180.0,1500.0,1500.0,1500.0,1500.0,0,0,0,0
-935.0,-1422.0,-12.0,-12.0,0.0,0.0,-12.0,1.6999999999999993,-15.0,1,0,-0.09999999999999998,-1,-0.09999999999999998,-1,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,-1,0.0,0,-0.011020408163265306,0.00897959183673469,0.0077551020408163085,-0.06354430379746834,-0.02101449275362316,-0.044062500000000004,-0.018175182481751817,0.03733333333333333,-0.008000000000000007,0.0,-48.0,-57.0,0,0,0,0,0,1,0,0,30.0,0.18,0,20100111,Sydney,hard,500,R32,Casey Dellacqua,Vera Dushevina,978.0,43.0,8.0,1430.0,24.9,23.2,165.0,180.0,1500.0,1512.0,1500.0,1512.0,0,0,0,0
21.0,4197.0,0.0,0.0,0.0,0.0,0.0,3.8999999999999986,13.0,0,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.046169772256728775,0.03209109730848861,-0.029813664596273326,0.13691128148959475,-0.07108302122347071,0.03748677248677246,-0.06911827956989247,0.032205882352941195,-0.044545454545454555,-0.19999999999999996,33.0,36.0,0,0,0,0,0,1,0,0,30.0,0.18,0,20100111,Sydney,hard,500,R16,Svetlana Kuznetsova,Dominika Cibulkova,3.0,24.0,6141.0,1944.0,24.5,20.6,174.0,161.0,1512.0,1512.0,1512.0,1512.0,0,0,0,0
18.0,3520.0,0.0,0.0,0.0,0.0,0.0,-1.5,-1.0,0,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,-0.015367316341829085,0.025487256371814093,-0.040104947526236945,-0.005766526019690521,-0.0011487050960735101,-0.012822816079047783,-0.005544395339493691,-0.19428571428571428,0.06404761904761908,0.0,24.0,21.0,0,0,0,0,0,1,0,0,30.0,0.18,1,20100111,Sydney,hard,500,R16,Elena Dementieva,Daniela Hantuchova,5.0,23.0,5505.0,1985.0,28.2,26.7,180.0,181.0,1512.0,1512.0,1512.0,1512.0,0,0,0,0
-8.0,-4350.0,12.0,12.0,0.0,0.0,12.0,-2.8999999999999986,-15.0,0,1,0.09999999999999998,1,0.09999999999999998,1,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,0,0.013763440860215054,-0.027741935483870966,0.0036559139784946293,0.04233766233766234,0.05757575757575756,0.052764227642276396,0.051159420289855095,-0.03999999999999998,0.009090909090909094,0.0,43.0,58.0,0,0,0,0,0,1,0,0,30.0,0.18,0,20100111,Sydney,hard,500,R16,Agnieszka Radwanska,Dinara Safina,10.0,2.0,3450.0,7800.0,20.8,23.7,170.0,185.0,1512.0,1500.0,1512.0,1500.0,0,0,0,0
-42.0,-7645.0,11.171398827245866,11.171398827245866,0.0,0.0,11.171398827245866,-0.6000000000000014,5.0,0,1,0.06666666666666665,1,0.06666666666666665,1,0.06666666666666665,0.06666666666666665,0.06666666666666665,0.06666666666666665,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,0,-0.0014313597918022142,-0.020299284320104097,0.0277813923227066,0.05497655028660753,-0.04348404255319149,0.00750420168067234,0.018097991716808703,-0.10399999999999998,0.041481481481481564,0.0,39.0,57.0,0,0,0,0,0,1,0,0,30.0,0.18,0,20100111,Sydney,hard,500,QF,Vera Dushevina,Serena Williams,43.0,1.0,1430.0,9075.0,23.2,28.2,180.0,175.0,1523.585699413623,1512.414300586377,1523.585699413623,1512.414300586377,0,0,0,0
-15.0,-1315.0,0.0,0.0,0.0,0.0,0.0,-1.3999999999999986,-7.0,0,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,-0.09999999999999998,-1,-0.03020582731889869,0.012028869286287089,0.039160652232023585,0.07248108323377134,-0.09924760601915183,-0.010760747824588579,-0.021451787648970766,0.12729411764705878,-0.09436363636363643,0.0,13.0,27.0,0,0,0,0,0,1,0,0,30.0,0.18,1,20100111,Sydney,hard,500,QF,Aravane Rezai,Flavia Pennetta,27.0,12.0,1885.0,3200.0,22.8,27.8,165.0,172.0,1512.0,1512.0,1512.0,1512.0,0,0,0,0
17.0,2597.0,-12.0,-12.0,0.0,0.0,-12.0,-0.20000000000000284,19.0,0,1,-0.06666666666666665,-1,-0.06666666666666665,-1,-0.06666666666666665,-0.06666666666666665,-0.06666666666666665,-0.06666666666666665,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,-1,-0.09999999999999998,-1,0.021974306964164976,0.032454361054766734,0.0681766959657426,0.026639344262295084,-0.14050318922749816,-0.04144969463195114,-8.249463784848476e-05,0.06466666666666676,-0.046034482758620654,-0.09999999999999998,-21.0,-35.0,-1,0,0,0,0,1,0,0,30.0,0.18,1,20100111,Sydney,hard,500,QF,Victoria Azarenka,Dominika Cibulkova,7.0,24.0,4541.0,1944.0,20.4,20.6,180.0,161.0,1512.0,1524.0,1512.0,1524.0,0,0,0,0
-3.0,-2295.0,11.585699413622933,11.585699413622933,0.0,0.0,11.585699413622933,0.10000000000000142,-5.0,0,1,0.06666666666666665,1,0.06666666666666665,1,0.06666666666666665,0.06666666666666665,0.06666666666666665,0.06666666666666665,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,0,-0.0017745017745017765,0.010920010920010922,0.009282009282009285,0.05684962070504229,0.022294077603812135,0.04270250093318395,0.004259141830479818,0.01153318077803206,0.06340740740740736,0.0,87.0,62.0,0,0,0,0,0,1,0,0,30.0,0.18,1,20100111,Sydney,hard,500,QF,Elena Dementieva,Dinara Safina,5.0,2.0,5505.0,7800.0,28.2,23.7,180.0,185.0,1524.0,1512.414300586377,1524.0,1512.414300586377,0,0,0,0
-26.0,-7190.0,-0.8000141155898746,-0.8000141155898746,0.0,0.0,-0.8000141155898746,-1.0,-10.0,0,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.09999999999999998,1,-0.03569979716024341,-0.017038539553752535,0.017849898580121648,0.007948717948717987,-0.04936126724578438,-0.019714285714285684,-0.008450390189520651,0.06977272727272732,-0.03283648498331476,0.09999999999999998,25.0,35.0,1,0,0,0,0,1,0,0,30.0,0.18,0,20100111,Sydney,hard,500,SF,Aravane Rezai,Serena Williams,27.0,1.0,1885.0,9075.0,22.8,28.2,165.0,175.0,1524.0,1524.8000141155899,1524.0,1524.8000141155899,0,0,0,0
